"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-09-28","99.1","-0.9001","6.4249","Jordan Hicks",575929,663855,"force_out","hit_into_play",,,,,7,"Umpire reviewed (other), call on the field was upheld: Willson Contreras grounds into a force out, fielded by third baseman Jedd Gyorko.   Jason Heyward out at 3rd.    Kris Bryant to 3rd.  Willson Contreras advances to 2nd, on a throwing error by third baseman Jedd Gyorko.  ","R","R","R","CHC","STL","X",5,"ground_ball",1,0,2018,"-1.1029","1.0464","-0.4465","2.0515","null",518792,592178,1,8,"Bot","100.41","170.08",,,425877,,"180928_210127","3.8583","-144.0518","-9.0185","-16.3820","33.7140","-15.5800","3.2707","1.5613","2","79.9","-42","99.5330","1924","6.6020",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"53.8942","0.055","0.050","0.00",1,0,0,2,68,"2","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","100.1","-0.9508","6.4651","Jordan Hicks",575929,663855,"null","ball",,,,,11,"null","R","R","R","CHC","STL","B","null","null",0,0,2018,"-1.2756","0.7654","-0.4580","3.6764","null",518792,592178,1,8,"Bot","null","null",,,425877,,"180928_210056","4.3736","-145.6363","-4.1157","-19.1609","35.5043","-20.5361","3.3408","1.6087","null","null","null","100.0370","2030","6.3470",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.1495","null","null","null","null","null","null","null",68,"1","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","100.3","-0.9413","6.5438","Jordan Hicks",592178,663855,"hit_by_pitch","hit_by_pitch",,,,,11,"Kris Bryant hit by pitch.    Jason Heyward to 2nd.  ","R","R","R","CHC","STL","B","null","null",0,1,2018,"-1.5633","0.8973","-2.3410","3.3073","null","null",518792,1,8,"Bot","null","null",,,425877,,"180928_205947","-0.1810","-145.9712","-5.6700","-22.1126","37.0313","-18.2518","3.2941","1.6321","null","null","null","99.9790","1958","6.2790",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.2180","null","null","0.70",1,0,0,"null",67,"2","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.9","-0.9438","6.3252","Jordan Hicks",592178,663855,"null","called_strike",,,,,7,"null","R","R","R","CHC","STL","S","null","null",0,0,2018,"-1.1330","1.1178","-0.4055","1.7727","null","null",518792,1,8,"Bot","null","null",,,425877,,"180928_205907","4.2241","-145.2901","-9.9009","-17.2571","34.0155","-14.0007","3.3175","1.6773","null","null","null","100.6900","1999","6.7480",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"53.7489","null","null","null","null","null","null","null",67,"1","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.4","-0.9509","6.4005","Jordan Hicks",518792,663855,"single","hit_into_play_no_out",,,,,4,"Jason Heyward singles on a soft ground ball to shortstop Paul DeJong.  ","R","L","R","CHC","STL","X",6,"ground_ball",1,0,2018,"-1.2773","0.8978","-0.6598","2.8572","null","null","null",1,8,"Bot","122.82","165.23",,,425877,,"180928_205819","3.8202","-144.6555","-6.4531","-18.9207","33.0695","-18.2157","3.5715","1.7960","3","96.5","-39","99.8700","2065","6.4960",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.0003","0.074","0.074","0.90",1,1,0,2,66,"2","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SL","2018-09-28","83.5","-0.8840","6.5582","Jordan Hicks",518792,663855,"null","ball",,,,,14,"null","R","L","R","CHC","STL","B","null","null",0,0,2018,"0.8674","-0.4055","1.7726","2.4758","null","null","null",1,8,"Bot","null","null",,,425877,,"180928_205757","4.4105","-121.5067","-2.1511","7.6559","24.4019","-35.9612","3.5512","1.6321","null","null","null","83.3460","2229","6.2400",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.2564","null","null","null","null","null","null","null",66,"1","Slider",5,2,5,2,2,5,5,2,"Standard","Standard"
"SL","2018-09-28","86.2","-1.2559","6.2633","Jordan Hicks",595879,663855,"strikeout","swinging_strike",,,,,9,"Javier Baez strikes out swinging.  ","R","R","R","CHC","STL","S",2,"null",3,2,2018,"1.0191","0.1168","0.6875","1.9592","null","null","null",0,8,"Bot","null","null",,,425877,,"180928_205715","2.5630","-125.4986","-4.2295","10.1460","24.8840","-30.3425","3.3675","1.6789","null","null","null","85.8720","2416","6.0020",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.4948","null","null","0.00",1,0,0,"null",65,"6","Slider",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.7","-1.0966","6.3569","Jordan Hicks",595879,663855,"null","called_strike",,,,,5,"null","R","R","R","CHC","STL","S","null","null",3,1,2018,"-1.2504","0.5668","0.0937","2.7481","null","null","null",0,8,"Bot","null","null",,,425877,,"180928_205651","6.1832","-145.0115","-5.8680","-19.0038","32.0834","-23.0904","3.5044","1.7960","null","null","null","99.7720","1969","6.2310",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.2656","null","null","null","null","null","null","null",65,"5","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.6","-0.8740","6.4909","Jordan Hicks",595879,663855,"null","ball",,,,,11,"null","R","R","R","CHC","STL","B","null","null",2,1,2018,"-1.2935","0.5862","-0.6678","4.5162","null","null","null",0,8,"Bot","null","null",,,425877,,"180928_205625","3.6310","-145.0807","-1.4074","-19.1639","35.1090","-23.7618","3.4343","1.7492","null","null","null","99.8750","1958","6.4600",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.0364","null","null","null","null","null","null","null",65,"4","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","98.6","-1.0210","6.4414","Jordan Hicks",595879,663855,"null","ball",,,,,12,"null","R","R","R","CHC","STL","B","null","null",1,1,2018,"-1.2419","0.8691","0.1150","3.7235","null","null","null",0,8,"Bot","null","null",,,425877,,"180928_205603","6.0183","-143.4483","-3.9846","-18.6416","33.1607","-19.3859","3.4343","1.7492","null","null","null","99.0160","1931","6.5290",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"53.9681","null","null","null","null","null","null","null",65,"3","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
