pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,four_seam,curve_ball,cutter,unnamed_pitch,sinker,slider,changeup,two_seam,split_finger,knuckle_curve,forkball,eephus,pitch_out,screwball,knuckle_ball,strike,up_zone,mid_zone,down_zone,hit,swinging_strike,chapman,betances,britton,green,ottavino,id,pitch_count
FT,2018-03-29,94.7,-2.3248,5.5797,Adam Ottavino,571875,493603,strikeout,swinging_strike,5,Jake Lamb strikes out swinging.,R,L,R,ARI,COL,S,2,null,1,2,2018,-1.1464,0.5676,-0.1732,2.3565,null,null,null,1,8,Bot,null,null,455104,180330_053411,8.2896,-137.6997,-4.0503,-16.6478,30.6357,-24.1358,3.3383,1.3692,null,null,null,95.49,2470,6.794,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.7078,null,null,0.00,1,0,0,null,72,5,2-Seam Fastball,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,21,11
FT,2018-03-29,94.9,-2.3277,5.5219,Adam Ottavino,571875,493603,null,foul,2,null,R,L,R,ARI,COL,S,null,null,1,2,2018,-0.8142,0.8556,-0.1169,2.7889,null,null,null,1,8,Bot,null,null,455104,180330_053347,7.6926,-138.0856,-3.424,-12.3096,32.3911,-20.537,3.3383,1.3692,331,87.0,37,95.432,2311,6.724,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.7778,null,null,null,null,null,null,null,72,4,2-Seam Fastball,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,22,12
SL,2018-03-29,81.7,-2.9651,5.3917,Adam Ottavino,571875,493603,null,swinging_strike,14,null,R,L,R,ARI,COL,S,null,null,1,1,2018,1.2922,-0.4139,0.4307,0.5289,null,null,null,1,8,Bot,null,null,455104,180330_053314,5.1508,-118.7185,-3.4318,10.79,26.9102,-35.4933,3.3383,1.3692,null,null,null,80.741,2854,6.136,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.3656,null,null,null,null,null,null,null,72,3,Slider,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,23,13
SL,2018-03-29,86.2,-2.7373,5.5639,Adam Ottavino,571875,493603,null,ball,12,null,R,L,R,ARI,COL,B,null,null,0,1,2018,0.9275,-0.0286,0.1331,4.1377,null,null,null,1,8,Bot,null,null,455104,180330_053249,4.9345,-125.361,2.947,8.6108,27.2066,-33.3487,3.4727,1.627,null,null,null,85.795,2737,6.231,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.2712,null,null,null,null,null,null,null,72,2,Slider,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24,14
SL,2018-03-29,79.9,-3.1092,5.4943,Adam Ottavino,571875,493603,null,called_strike,5,null,R,L,R,ARI,COL,S,null,null,0,0,2018,1.2686,-0.1276,-0.2192,2.5444,null,null,null,1,8,Bot,null,null,455104,180330_053231,3.9783,-116.2249,0.5407,10.5158,24.1713,-33.6733,3.4369,1.5912,null,null,null,79.395,2689,6.21,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.2921,null,null,null,null,null,null,null,72,1,Slider,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,25,15
FT,2018-03-29,94.2,-2.5563,5.5216,Adam Ottavino,502671,493603,strikeout,called_strike,6,Paul Goldschmidt called out on strikes.,R,R,R,ARI,COL,S,2,null,0,2,2018,-1.1203,0.527,0.5188,2.6675,null,null,null,0,8,Bot,null,null,455104,180330_053158,10.4861,-136.6991,-2.8207,-16.4725,31.7916,-25.1373,3.5443,1.7559,null,null,null,94.011,2371,6.457,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.0448,null,null,0.00,1,0,0,null,71,3,2-Seam Fastball,8,2,8,2,2,8,8,2,Standard,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,26,16
FC,2018-03-29,87.8,-2.7382,5.6288,Adam Ottavino,502671,493603,null,called_strike,2,null,R,R,R,ARI,COL,S,null,null,0,1,2018,0.326,0.6483,0.2634,3.5035,null,null,null,0,8,Bot,null,null,455104,180330_053137,6.6007,-127.6798,-0.3239,2.1086,28.0223,-25.2532,3.5443,1.6528,null,null,null,87.736,2745,6.437,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.0652,null,null,null,null,null,null,null,71,2,Cutter,8,2,8,2,2,8,8,2,Standard,Standard,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,27,17
SL,2018-03-29,80.7,-3.1154,5.3525,Adam Ottavino,502671,493603,null,called_strike,2,null,R,R,R,ARI,COL,S,null,null,0,0,2018,1.551,0.13,-0.2256,3.0539,null,null,null,0,8,Bot,null,null,455104,180330_053121,3.4866,-117.2949,1.387,13.2919,25.0102,-31.5524,3.4928,1.6012,null,null,null,79.856,2815,6.063,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.4393,null,null,null,null,null,null,null,71,1,Slider,8,2,8,2,2,8,8,2,Standard,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,28,18
SI,2018-03-29,99.5,0.5282,6.2845,Aroldis Chapman,434778,547973,strikeout,swinging_strike,12,Kendrys Morales strikes out swinging.,R,R,L,TOR,NYY,S,2,null,0,2,2018,0.8795,1.2736,0.3004,4.2934,null,null,null,2,9,Bot,null,null,596142,180329_230034,-2.7297,-144.9964,-3.1231,13.1668,33.4586,-13.4958,3.2375,1.6759,null,null,null,100.321,2556,6.634,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,53.8666,null,null,0.00,1,0,0,null,72,4,Sinker,1,6,1,6,6,1,1,6,Strategic,Standard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
SI,2018-03-29,100.2,0.4287,6.2281,Aroldis Chapman,434778,547973,null,foul,11,null,R,R,L,TOR,NYY,S,null,null,0,2,2018,1.1341,1.1946,-0.023,4.1474,null,null,null,2,9,Bot,null,null,596142,180329_225926,-3.994,-145.9643,-3.2736,17.3355,34.6958,-14.3348,3.3236,1.4545,null,null,null,100.999,2645,6.69,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,53.8106,null,null,null,null,null,null,null,72,3,Sinker,1,6,1,6,6,1,1,6,Strategic,Standard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,2
