"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","fielder_2","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","four_seam","curve_ball","cutter","unnamed_pitch","sinker","slider","changeup","two_seam","split_finger","knuckle_curve","forkball","eephus","pitch_out","screwball","knuckle_ball","strike","up_zone","mid_zone","down_zone","hit","swinging_strike","chapman","betances","britton","green","ottavino","id","pitch_count"
"1176","FF",2018-03-29,96.2,-1.7717,6.1109,"Chad Green",434158,643338,"strikeout","swinging_strike",11,"Curtis Granderson strikes out swinging.","R","L","R","TOR","NYY","S","2","null",3,2,2018,-0.6958,1.5717,-0.9508,2.6201,"null","518626","null",2,6,"Bot","null","null",596142,"180329_220941",3.7543,-139.8886,-7.2305,-9.9765,31.3753,-10.1314,2.9815,1.3136,"null","null","null",96.251,"2493",6.345,529415,643338,596142,435522,642180,592273,544369,458731,543305,592450,54.1554,"null","null","0.00","1","0","0","null",49,7,"4-Seam Fastball",0,4,0,4,4,0,0,4,"Strategic","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,57,16
"1177","SI",2018-06-06,97.9,0.5528,6.0773,"Aroldis Chapman",434778,547973,"double","hit_into_play_no_out",5,"Kendrys Morales doubles (6) on a sharp fly ball to right fielder Aaron Judge.","R","R","L","TOR","NYY","X","9","fly_ball",0,2,2018,1.1096,1.0818,-0.2611,2.8221,"null","null","null",1,13,"Bot","147.54","32.70",519222,"null",-4.8701,-142.5238,-5.9124,16.5349,33.0894,-15.9708,3.4519,1.6202,"395","103.9","26",99.017,"2303",6.911,530328,547973,519222,595885,650402,609280,544369,519317,458731,592450,53.589,"0.905","1.776","1.25","1","1","1","6",92,3,"Sinker",0,3,0,3,3,0,0,3,"Standard","Standard",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1792,9
"1178","FF",2018-10-06,98.3,0.6586,5.9832,"Aroldis Chapman",435079,547973,"grounded_into_double_play","hit_into_play",5,"Ian Kinsler grounds into a double play, shortstop Didi Gregorius to second baseman Gleyber Torres to first baseman Neil Walker.   Steve Pearce out at 2nd.","D","R","L","BOS","NYY","X","6","ground_ball",1,0,2018,0.0255,1.5209,-0.0928,2.1884,"null","null","456665",1,9,"Bot","118.45","147.14",596142,"181007_034630",-2.1139,-142.9392,-8.4151,0.8814,35.789,-9.2614,3.371,1.535,"20","76.4","-4",98.751,"2514",6.778,563374,547973,596142,435522,650402,588751,544369,457705,458731,592450,53.7228,"0.108","0.095","0.00","1","0","0","2",75,2,"4-Seam Fastball",2,6,2,6,6,2,2,6,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5382,1
"1179","FT",2018-06-17,92.4,-2.8293,5.3563,"Adam Ottavino",608336,493603,"strikeout","called_strike",1,"Joey Gallo called out on strikes.","R","L","R","TEX","COL","S","2","null",3,2,2018,-1.3538,0.4426,-0.5537,3.59,"null","null","null",0,8,"Bot","null","null",547172,"180617_222229",8.8967,-134.411,0.3747,-18.6648,30.7028,-27.0195,3.6041,1.7324,"null","null","null",93.135,"2120",6.865,530468,493603,547172,641857,518934,571448,596115,467827,453568,471865,53.6339,"null","null","0.00","1","0","0","null",72,6,"2-Seam Fastball",9,10,9,10,10,9,9,10,"Infield shift","Standard",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2131,14
"1180","SI",2018-08-30,95.9,0.5599,6.4245,"Zach Britton",600869,502154,"null","swinging_strike_blocked",14,"null","R","R","L","NYY","DET","S","null","null",0,1,2018,0.553,0.7247,0.1284,0.7115,"null","null","608475",2,8,"Top","null","null",543309,"180831_020332",-2.3326,-139.2562,-10.9939,7.5722,28.6401,-20.8427,3.41,1.56,"null","null","null",95.119,"1986",5.764,531411,502154,543309,572228,435522,609280,650402,458731,543305,453203,54.7345,"null","null","null","null","null","null","null",69,2,"Sinker",7,5,5,7,5,7,5,7,"Standard","Standard",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,4322,5
"1181","SI",2018-06-16,100.4,0.5181,6.1617,"Aroldis Chapman",621563,547973,"null","foul",6,"null","R","L","L","NYY","TB","S","null","null",0,0,2018,0.9067,1.2176,0.6924,2.4331,"641343","null","null",2,9,"Top","null","null",596142,"180616_195603",-1.6859,-146.0155,-7.8357,13.3751,38.1368,-12.9863,3.3213,1.3305,"null","null","null",100.308,"2582",6.517,530463,547973,596142,595885,650402,609280,544369,458731,543305,519317,53.9808,"null","null","null","null","null","null","null",67,1,"Sinker",4,1,1,4,1,4,1,4,"Standard","Standard",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2103,5
"1182","SL",2018-04-16,81,-3.2573,5.2863,"Adam Ottavino",605137,493603,"null","ball",12,"null","R","L","R","PIT","COL","B","null","null",0,0,2018,1.6551,0.4533,0.3021,3.8657,"null","null","null",1,9,"Bot","null","null",455104,"180417_013742",4.802,-117.8064,2.6172,14.1765,23.2906,-28.7956,3.1988,1.5527,"null","null","null",80.265,"2762",5.905,529645,493603,455104,435622,518934,642162,596115,467827,453568,471865,54.5953,"null","null","null","null","null","null","null",67,1,"Slider",2,6,2,6,6,2,2,6,"Infield shift","Standard",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,546,10
"1183","FF",2018-06-25,96.5,-1.6334,5.9753,"Dellin Betances",514917,476454,"null","ball",12,"null","R","L","R","PHI","NYY","B","null","null",1,0,2018,-0.4742,1.2092,1.7947,3.1097,"null","null","621044",0,8,"Bot","null","null",519222,"180626_015621",10.209,-140.229,-4.8536,-8.3813,28.2975,-15.2647,3.3292,1.6046,"null","null","null",97.022,"2301",6.425,530577,476454,519222,435522,650402,609280,544369,519317,458731,592450,54.0777,"null","null","null","null","null","null","null",62,2,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2440,14
"1184","FF",2018-05-05,96.5,-1.9367,5.9891,"Chad Green",547379,643338,"null","swinging_strike",3,"null","R","R","R","NYY","CLE","S","null","null",0,0,2018,-0.3863,1.4436,0.6797,2.5853,"null","null","null",1,7,"Top","null","null",519222,"180505_190403",7.8318,-140.1864,-6.7447,-6.8587,31.6293,-11.8411,2.9941,1.2764,"null","null","null",96.438,"2464",6.341,529898,643338,519222,435522,650402,609280,591720,458731,543305,519317,54.1574,"null","null","null","null","null","null","null",50,1,"4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1055,20
"1185","SI",2018-07-21,94.2,0.7426,6.2988,"Zach Britton",475253,502154,"null","foul",6,"null","R","R","L","TOR","BAL","S","null","null",3,2,2018,1.1828,0.7102,0.432,2.3187,"null","null","null",0,8,"Bot","null","null",642851,"180721_192743",-3.3589,-137.0669,-6.1666,15.4337,28.6392,-22.2649,3.5176,1.6878,"null","null","null",93.733,"2063",5.895,530874,502154,642851,448801,570731,600524,542921,641820,430945,572073,54.6046,"null","null","null","null","null","null","null",60,6,"Sinker",4,1,4,1,1,4,4,1,"Standard","Standard",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3198,8
